분류,제목,날짜_월,날짜_일,분기
건설ㆍ교통,살레시오 여고 앞 오토바이 무법도로 점용 현장 (1),9,14,3
건설ㆍ교통,수소차 수소충전소 설치 문의,9,13,3
건설ㆍ교통,궁동34-4번지 물고임 현상 처리요청 (1),9,13,3
건설ㆍ교통,가로등 불이 안들어옵니다.,9,13,3
건설ㆍ교통,지산2동행정 복지센터앞 신호등 (1),9,12,3
건설ㆍ교통,홍림교 신호,9,12,3
건설ㆍ교통,지산동 푸른맨션 게이트쪽 동구에서 알리는 플랑으로 인해,9,11,3
건설ㆍ교통,두산1차 2차 3차,9,10,3
건설ㆍ교통,공무원의 무책임한 업무처리,9,10,3
건설ㆍ교통,계림2동 주민센터 옆 주차단속좀 해주세요 (1),9,10,3
건설ㆍ교통,가로등 교체 요망,9,9,3
건설ㆍ교통,공사 소음이 시끄러워요,9,9,3
건설ㆍ교통,교통사고 위험,9,8,3
건설ㆍ교통,이면 도로 주정차 단속,9,8,3
건설ㆍ교통,계림동 두산위브2차 및 3차 근처 주차단속,9,8,3
건설ㆍ교통,불법주차 단속부탁요(인도에 모두주차해서 사람도 걸을수 없어요),9,8,3
건설ㆍ교통,주차난 좀 해결해 주세요.,9,8,3
건설ㆍ교통,정류장,9,7,3
건설ㆍ교통,보안등 타이머 조정,9,7,3
건설ㆍ교통,보안등 수리,9,7,3
건설ㆍ교통,전남대병원 오거리 불법 현수막,9,7,3
건설ㆍ교통,전신주 이전 요청 및 공사 관련,9,5,3
건설ㆍ교통,오래된 골목에 관심을,9,5,3
건설ㆍ교통,주차봉 원래자리로 다시 설치해주세요. (1),9,4,3
건설ㆍ교통,노인 보호구역 도로파손 (1),9,2,3
건설ㆍ교통,지하상가횡단보도 (1),8,31,3
건설ㆍ교통,공적도로 주차금표지판으로 도로점유,8,31,3
건설ㆍ교통,불법 저질벽보 부착 건,8,29,3
건설ㆍ교통,동산초교 옆 삼거리 신호등 요청합니다 (1),8,27,3
건설ㆍ교통,산수동 무등산전망대 폭주족,8,26,3
건설ㆍ교통,어린이 보호구역 주차단속,8,26,3
건설ㆍ교통,용산지구 울타리 관련,8,26,3
건설ㆍ교통,버스정류장 도로 침하 (1),8,25,3
건설ㆍ교통,구청장님께다시한번부탁드립니다.,8,24,3
건설ㆍ교통,횡단보도 설치 건의 (1),8,24,3
건설ㆍ교통,동구 학소로 땅꺼짐.,8,24,3
건설ㆍ교통,동구청버스정류장 도로침하 (1),8,24,3
건설ㆍ교통,살레시오 정문앞 도로 무단 주정차 배달 오토바이 단속 해주세요. (1),8,24,3
건설ㆍ교통,산수동 그린웰 아파트옆 푸린길 개설도로,8,23,3
건설ㆍ교통,주차단속 및 중앙분리대 설치건의 (1),8,23,3
건설ㆍ교통,지산IC개통전 신호등과 과속카메라 부탁드립니다 (2),8,23,3
건설ㆍ교통,오토바이 주정차 (1),8,23,3
건설ㆍ교통,버스승강장 워터파크 (1),8,21,3
건설ㆍ교통,동구청주차장이용,8,20,3
건설ㆍ교통,조대 일방로 오토바이 주정차 (4),8,19,3
건설ㆍ교통,우회도로만든후상황,8,19,3
건설ㆍ교통,불법적치물 신고합니다,8,18,3
건설ㆍ교통,불법 주차 단속 바랍니다,8,18,3
건설ㆍ교통,개념없는 불법주정차,8,17,3
건설ㆍ교통,대인시장내 주정차에 관한건(과도한 신고),8,17,3
건설ㆍ교통,어린이 보호구역 불법주정차 신고합니다,8,15,3
건설ㆍ교통,롯데백화점 불법 주정차로 중앙선 넘어서 가는 상황 아시나요!!,8,14,3
건설ㆍ교통,불법주정차를 신고합니다,8,14,3
건설ㆍ교통,계단 앞쪽 도로가 옆 인도 포장,8,13,3
건설ㆍ교통,용산동 이디야쪽 울타리 항의 (1),8,12,3
건설ㆍ교통,불법주차 민원 접수합니다.,8,12,3
건설ㆍ교통,새벽에 시작되는 공사 소음,8,12,3
건설ㆍ교통,광주 동구 지산휴먼시아 아파트 근처에 상시 불법주차 단속 카메라 설치를 부탁 드립니다.,8,11,3
건설ㆍ교통,모기퇴치기 고장,8,11,3
건설ㆍ교통,필문대로조대정문앞 사거리 동구청 방향 불법좌회전 차선 위반 단속요청,8,11,3
건설ㆍ교통,가로등,8,10,3
건설ㆍ교통,반사경 각도조정 (1),8,10,3
건설ㆍ교통,가로등 불이 꺼짐,8,9,3
건설ㆍ교통,가로등 고장요,8,8,3
건설ㆍ교통,주정차(구시청 주거지역 골목길),8,7,3
건설ㆍ교통,오래된 불법주차 단속 요망 (1),8,6,3
건설ㆍ교통,등하교길 불법주정차및 신호등 문제,8,6,3
건설ㆍ교통,주정차단속,8,6,3
건설ㆍ교통,동구 이래서 가기싫어요,8,6,3
건설ㆍ교통,감사합니다.,8,4,3
건설ㆍ교통,통행로 확보,8,4,3
건설ㆍ교통,학4 구역 주변 인도 잡초 (1),8,4,3
건설ㆍ교통,교통신호 위험 (1),8,4,3
건설ㆍ교통,제발 주말엔....,8,1,3
건설ㆍ교통,소음 신고,7,31,3
건설ㆍ교통,구청장에게고한다,7,29,3
건설ㆍ교통,집앞 싱크홀 의심,7,29,3
건설ㆍ교통,이른 아침 주차단속,7,29,3
건설ㆍ교통,오전 9시 공사 소음,7,29,3
건설ㆍ교통,선교동 너릿재 옛길 입구 안내판 문구를 수정해 주세요 (1),7,29,3
건설ㆍ교통,과속방지턱설치 (1),7,28,3
건설ㆍ교통,교차로 교통카메라 설치 검토 요청 (1),7,28,3
건설ㆍ교통,폐차방치,7,28,3
건설ㆍ교통,공사중 소음과 매연이 너무 심합니다,7,28,3
건설ㆍ교통,도로무단점거 오토바이 (1),7,27,3
건설ㆍ교통,계림초등학교후문학교안 보도블럭공사 (1),7,27,3
건설ㆍ교통,"황금동 충장로 불법 노점상 평일,주말 단속 부탁 드립니다.",7,27,3
건설ㆍ교통,광주 동구 장동로 43-1 1 코너베이크샵 앞 도로 싱크홀 의심신고,7,26,3
건설ㆍ교통,동명로 67번길 노상주차 건의,7,26,3
건설ㆍ교통,내남동 진아리채 광주화순간 방음벽 설치 (2),7,25,3
건설ㆍ교통,지산동 한국아델리움 아파트 신축현장,7,24,3
건설ㆍ교통,그랜드센트럴 아파트 쪽문 신호등설치 (1),7,23,3
건설ㆍ교통,창역떡집 뒤 가로등 고장 (1),7,23,3
건설ㆍ교통,불법입간판 통향불편 한번 요청하엿으나 조치가 이뤄지지안음,7,23,3
건설ㆍ교통,학동4구역 현장 전체 CCTV 설치24871,7,22,3
건설ㆍ교통,어린이보호구역 불법주차,7,21,3
건설ㆍ교통,동명로14번길 오아시타호스텔 이용객의 불법주차 단속요청,7,21,3
건설ㆍ교통,심야시간 배달오토바이 소음 문의드립니다.,7,20,3
건설ㆍ교통,배달 오토바이 배기소음 좀 단속해주세요.,7,20,3
건설ㆍ교통,불법점유물,7,19,3
건설ㆍ교통,동명로 67번길 주차 단속,7,19,3
건설ㆍ교통,충장로 불법 노점상 단속 부탁 드립니다.,7,19,3
건설ㆍ교통,이른아침 공사장소음 (1),7,19,3
건설ㆍ교통,오토바이소음관련,7,19,3
건설ㆍ교통,꼬리물기 단속 부탁드립니다 (1),7,14,3
건설ㆍ교통,주민우선주차장 및 도로 불법점유물,7,14,3
건설ㆍ교통,불법주차,7,14,3
건설ㆍ교통,동명로14번길 불법주차 단속 요청 (2),7,14,3
건설ㆍ교통,표지판 제보,7,13,3
