가상번호,분류,제목,등록일자,처리상태
26482,환경ㆍ청소,아이스팩 재활용 수거 가능한가요?,작성일시 : 2021/11/03,답변완료
,,,,(처리중)
26481,건설ㆍ교통,계림2동 행정복지센터 신축관련,작성일시 : 2021/11/03,답변완료
,,,,(처리중)
26480,건설ㆍ교통,동계천로 불법주차 문제,작성일시 : 2021/11/03,답변완료
,,,,(처리완료)
26475,도시ㆍ건축,동구 금동 오피스텔로 인한 주택 문제건 처리진행사항,작성일시 : 2021/11/03,답변완료
,,,,(처리완료)
26474,보건ㆍ복지,지역 대형병원 응급실 대응체계 (조대병원),작성일시 : 2021/11/03,답변완료
,,,,(처리완료)
26473,공원ㆍ체육,푸른길 말벌집 철거 요청,작성일시 : 2021/11/03,답변완료
,,,,(처리완료)
26472,환경ㆍ청소,홈플러스 계림점 광장 비둘기,작성일시 : 2021/11/03,답변완료
,,,,(처리중)
26470,기타,지적 소음 반복민원 짜증이다,작성일시 : 2021/11/03,
26469,기타,지적재조사계는 엉터리 답변 중이다.,작성일시 : 2021/11/03,
26458,건설ㆍ교통,"주차단속도 좀 하고, 주차 못하게 탄력규제봉 설치 바랍니다",작성일시 : 2021/11/02,답변완료
,,,,(처리완료)
26457,건설ㆍ교통,어린이보호구역 주정차 금지,작성일시 : 2021/11/02,답변완료
,,,,(처리중)
26456,건설ㆍ교통,어린이보호구역 주정차,작성일시 : 2021/11/02,답변완료
,,,,(처리중)
26454,건설ㆍ교통,주정차단속 직원 불친절,작성일시 : 2021/11/02,답변완료
,,,,(처리중)
26453,건설ㆍ교통,동명동 거리공사 -주차민원,작성일시 : 2021/11/02,답변완료
,,,,(처리완료)
26452,공원ㆍ체육,제안,작성일시 : 2021/11/02,답변완료
,,,,(처리완료)
26444,기타,문의,작성일시 : 2021/11/01,답변완료
,,,,(처리완료)
26443,건설ㆍ교통,지산ic 주차공간 문제,작성일시 : 2021/11/01,답변완료
,,,,(처리완료)
26439,건설ㆍ교통,그랜드센트럴 108동 임대아파트에 관하여...,작성일시 : 2021/11/01,답변완료
,,,,(처리중)
26438,환경ㆍ청소,소음,작성일시 : 2021/11/01,답변완료
,,,,(처리완료)
26437,건설ㆍ교통,개념없는 불법 주정차,작성일시 : 2021/11/01,답변완료
,,,,(처리중)
26434,건설ㆍ교통,용산생활체육공원 주변 교통불편,작성일시 : 2021/11/01,답변완료
,,,,(처리중)
26433,보건ㆍ복지,수술복사CD 우편으로 보내주세요,작성일시 : 2021/11/01,답변완료
,,,,(처리완료)
26432,환경ㆍ청소,비둘기밥,작성일시 : 2021/11/01,답변완료
,,,,(처리중)
26430,건설ㆍ교통,학동4구역 관련하여 참조하시기 바랍니다.다,작성일시 : 2021/10/31,
26429,건설ㆍ교통,동계천로 보행도로 공사중인데 걱정이되는데요,작성일시 : 2021/10/30,답변완료
,,,,(처리중)
26428,건설ㆍ교통,소음,작성일시 : 2021/10/30,답변완료
,,,,(처리완료)
26427,환경ㆍ청소,소음,작성일시 : 2021/10/30,답변완료
,,,,(처리완료)
26426,건설ㆍ교통,건의합니다.,작성일시 : 2021/10/30,답변완료
,,,,(처리중)
26425,건설ㆍ교통,가로등 점검,작성일시 : 2021/10/29,답변완료
,,,,(처리완료)
26424,도시ㆍ건축,주택건설사업계획 승인 건축위원회 심의시 주민 참여가 필요하다고 생각합니다.,작성일시 : 2021/10/29,답변완료
,,,,(처리완료)
26412,기타,위험물판매소인 일x석유상x를 신고합니다.,작성일시 : 2021/10/29,답변완료
,,,,(처리중)
26410,건설ㆍ교통,인도없는 경사로 도로쪽 출입구 개설 문제,작성일시 : 2021/10/29,답변완료
,,,,(처리완료)
26405,환경ㆍ청소,흡연 및 주차,작성일시 : 2021/10/29,답변완료
,,,,(처리완료)
26403,건설ㆍ교통,산수동 도로개통관련 민원,작성일시 : 2021/10/29,답변완료
,,,,(처리중)
26396,도시ㆍ건축,위험한 공사장,작성일시 : 2021/10/29,답변완료
,,,,(처리완료)
26395,환경ㆍ청소,과태료처분과정이 메뉴얼대로 된건지 의문입니다. 청소과 직원의 공갈아닌공갈을 받은거같은기분입니다,작성일시 : 2021/10/29,답변완료
,,,,(처리완료)
26394,미담사례,대한민국건강도시대상수상,작성일시 : 2021/10/28,답변완료
,,,,(처리완료)
26391,환경ㆍ청소,청소행정과 직원의 소극행정과 불친절하고 안이한 업무처리 항의,작성일시 : 2021/10/28,답변완료
,,,,(처리완료)
26385,건설ㆍ교통,불법주정차 단속 아에 안하죠?,작성일시 : 2021/10/28,답변완료
,,,,(처리중)
26369,건설ㆍ교통,그랜드센트럴 정문 불법주정차좀 제발 없게해주세요,작성일시 : 2021/10/27,답변완료
,,,,(처리중)
26368,건설ㆍ교통,법원 앞 불법주차단속,작성일시 : 2021/10/27,답변완료
,,,,(처리중)
26366,건설ㆍ교통,두산3차 정문 건너편 인도 안전펜스,작성일시 : 2021/10/27,답변완료
,,,,(처리중)
26365,환경ㆍ청소,불법 간판철거 및 행정조치 요청,작성일시 : 2021/10/27,답변완료
,,,,(처리중)
26360,환경ㆍ청소,동명동 이용섭 선생님을 칭찬합니다,작성일시 : 2021/10/26,답변완료
,,,,(처리완료)
26359,기타,가로등고장,작성일시 : 2021/10/26,답변완료
,,,,(처리완료)
26356,환경ㆍ청소,불법광고물철거바랍니다-2,작성일시 : 2021/10/26,답변완료
,,,,(처리중)
26355,환경ㆍ청소,쓰레기 소각,작성일시 : 2021/10/26,답변완료
,,,,(처리완료)
