분류,제목,날짜_월,날짜_일
도시건축,광주 계림교회옆 신축공사현장의 문제,9,14
건설교통,동명동 차도보행로 공사,9,14
건설교통,살레시오 여고 앞 오토바이 무법도로 점용 현장 ,9,14
기타,골목 가로등 수리 부탁드려요,9,13
건설교통,수소차 수소충전소 설치 문의,9,13
건설교통,궁동번지 물고임 현상 처리요청 ,9,13
건설교통,가로등 불이 안들어옵니다,9,13
공원체육,도심건강길 길 시설물 관리,9,13
환경청소,동명동 일대 술집 및 식당 음식물쓰레기 관리,9,12
환경청소,도로에 도시 미관을 헤치는 쓰레기 투기 시정 바랍니다,9,12
건설교통,지산동행정 복지센터앞 신호등 ,9,12
건설교통,홍림교 신호,9,12
건설교통,지산동 푸른맨션 게이트쪽 동구에서 알리는 플랑으로 인해,9,11
도시건축,담장 균열 위험,9,11
기타,필지 소유주가 같은데 이걸 따로 합병 처리 하라는 이유가 뭔지 설명 바랍니다 ,9,11
건설교통,두산차 차 차,9,10
건설교통,공무원의 무책임한 업무처리,9,10
환경청소,소음,9,10
도시건축,월남동 공영차고지 이전계획 궁금합니다,9,10
환경청소,하수구냄세가심해요 ,9,10
공원체육,공원 잡초가 무성하여 모기 때문에 못살겠다는 민원,9,10
건설교통,계림동 주민센터 옆 주차단속좀 해주세요 ,9,10
보건복지,돈 벌이에 불 친절한 치과 ,9,10
도시건축,장기수선충당금 사용 사업,9,9
공원체육,동구 국민 체육센터 칭찬합니다 ,9,9
환경청소,다시 쓰레기장,9,9
기타,창구직원 업무부족과 불친절 ,9,9
건설교통,가로등 교체 요망,9,9
건설교통,공사 소음이 시끄러워요,9,9
기타,김윤호씨 이번에도 억지로 반복민원으로 종결처리 하실 거에요 ,9,9
기타,산수동 점심시간 단수 ,9,9
환경청소,성촌마을 입구 쓰레기,9,9
기타,민원 해결 요청,9,9
도시건축,확인 행정을 요구합니다,9,9
건설교통,교통사고 위험,9,8
보건복지,동구국민체육센터 외부벤치 흡연건,9,8
건설교통,이면 도로 주정차 단속,9,8
미담사례,보건소 장 은주 주무관님 칭찬합니다 ,9,8
건설교통,계림동 두산위브차 및 차 근처 주차단속,9,8
건설교통,불법주차 단속부탁요인도에 모두주차해서 사람도 걸을수 없어요,9,8
건설교통,주차난 좀 해결해 주세요,9,8
도시건축,동다표 사퇴처리 오류에 따른 조치,9,8
기타,기름차 하나 관리 못하는 일석유상사를 신고합니다 ,9,8
도시건축,불법벽보 건,9,7
문화경제,청년창업지원 사업을 지원하는 동구청 동구청장님 청년체육과에 감사합니다 ,9,7
건설교통,정류장,9,7
건설교통,보안등 타이머 조정,9,7
건설교통,보안등 수리,9,7
기타,광주지방법원 공사로 인한 소음과 냄새,9,7
건설교통,전남대병원 오거리 불법 현수막,9,7
환경청소,소음,9,6
보건복지,국민지원금 사용처 문의,9,6
미담사례,산수동 복지담당 신서진님 정말 감사드립니다 ,9,6
도시건축,학동구역에 대해 동구청장님께 바랍니다,9,6
기타,마스크 안쓰고 다니는 인간을 고발합니다,9,6
보건복지,지산동 동네 연기냄새 민원입니다,9,6
도시건축,건축과는 지적재조사 사업처럼 불법을 허가 해주실 겁니까,9,6
건설교통,전신주 이전 요청 및 공사 관련,9,5
공원체육,빛고을산들길등산로길 잡초 제거좀 해 주세요,9,5
환경청소,용산지구 산책로둘레길 제초 작업 및 배수지 입구 정비 부탁 합니다 ,9,5
건설교통,오래된 골목에 관심을,9,5
보건복지,동구 푸른마을공동체 센터,9,5
공원체육,푸른길공원등 보수 바랍니다,9,4
환경청소,나무전지 잡초 제거해 주세요 ,9,4
공원체육,천변산책로 인도좀 만들어주세요 ,9,4
미담사례,년 아빠는 육아왕 프로그램 최고 ,9,4
미담사례,임택 구청장님 육아종합센터 센터장 및 선생님 감사드립니다 ,9,4
환경청소,소음,9,4
도시건축,학동구역 제대로 행정감독 ,9,4
건설교통,주차봉 원래자리로 다시 설치해주세요 ,9,4
도시건축,학동삼거리 철거현장의 관리 ,9,4
문화경제,언행일치 ,9,4
도시건축,동구청장님께 올립니다 ,9,3
환경청소,비둘기가 너무 많아요,9,3
